title,views,downloads,contributions,notebooks,nb_comments,licence
Netflix TV Shows and Movies,32038.0,5977.0,14.0,11.0,5.0,CC0: Public Domain
Supermarket store branches sales analysis,27866.0,5357.0,8.0,8.0,57.0,CC BY-SA 3.0
Student Performance Dataset,11944.0,2336.0,4.0,1.0,17.0,CC0: Public Domain
Top Hits Spotify from 2000-2019,26987.0,5026.0,16.0,14.0,18.0,Unlicenced
Amex Competition Data in Parquet Format,3875.0,612.0,8.0,9.0,14.0,CC0: Public Domain
Date Fruit Datasets,106062.0,12524.0,43.0,43.0,35.0,CC0: Public Domain
Feather & Parquet Files : AMEX-Default Prediction,2827.0,476.0,7.0,8.0,10.0,CC0: Public Domain
Best Selling Mobile Phones,4102.0,817.0,4.0,3.0,6.0,CC0: Public Domain
Students Adaptability Level in Online Education,50504.0,8945.0,22.0,24.0,88.0,CC BY-SA 4.0
Salary Dataset - 2022,2904.0,495.0,2.0,2.0,44.0,CC0: Public Domain
Student Mental health,16678.0,2752.0,24.0,23.0,22.0,CC0: Public Domain
Uber Eats USA Restaurants and Menus 🍛 🍕🍔,2467.0,453.0,2.0,2.0,5.0,Unlicenced
Melbourne Housing Snapshot,243014.0,88310.0,1803.0,4597.0,2705.0,CC BY-NC-SA 4.0
Cities with the Best Work-Life Balance 2022,2121.0,438.0,0.0,0.0,0.0,CC0: Public Domain
Airline Passenger Satisfaction,7323.0,1637.0,8.0,8.0,9.0,CC0: Public Domain
🍔 Subway Restaurants Locations in US,1799.0,315.0,1.0,1.0,6.0,CC0: Public Domain
Trending YouTube Video Statistics,1381690.0,176496.0,986.0,1952.0,1323.0,CC0: Public Domain
USA Real Estate Dataset,2241.0,453.0,3.0,3.0,7.0,Unlicenced
Wine Reviews,1081272.0,161167.0,1430.0,3594.0,1816.0,CC BY-NC-SA 4.0
Cost of Living Index by City 2022,2100.0,442.0,0.0,0.0,0.0,CC0: Public Domain
UCL ⚽ 2021-22 ⭐ Players Data | Champions League,3520.0,774.0,2.0,5.0,66.0,GPL 2
1.88 Million US Wildfires,242679.0,20310.0,545.0,1546.0,839.0,CC0: Public Domain
Chess Game Dataset (Lichess),247074.0,29978.0,656.0,1625.0,889.0,CC0: Public Domain
Ramen Ratings,230695.0,34238.0,716.0,1699.0,986.0,Unlicenced
powerlifting-database,16510.0,4587.0,496.0,1477.0,773.0,Unlicenced
US Public Food Assistance,100938.0,16349.0,858.0,1872.0,860.0,Unlicenced
Things on Reddit,61128.0,8533.0,618.0,1613.0,777.0,Unlicenced
"18,393 Pitchfork Reviews",69420.0,10479.0,857.0,1855.0,781.0,Unlicenced
Mobile Price Classification,502981.0,87868.0,1223.0,2504.0,1247.0,Unlicenced
Play Store Apps May-2022,2408.0,456.0,2.0,2.0,10.0,CC0: Public Domain
EPL ⚽ 2021-22 ⭐ English Premier League,2755.0,580.0,3.0,2.0,33.0,GPL 2
Amazon Prime TV Shows and Movies,7465.0,1556.0,1.0,1.0,4.0,CC0: Public Domain
Energy Efficiency Data Set,11319.0,1674.0,9.0,5.0,9.0,CC0: Public Domain
Monkeypox Dataset (Daily Updated),3875.0,472.0,6.0,6.0,37.0,CC0: Public Domain
Marketing Budget and Actual Sales Dataset,1892.0,307.0,0.0,0.0,0.0,CC0: Public Domain
Raisin Dataset,10443.0,1122.0,6.0,14.0,4.0,CC0: Public Domain
Top YouTube Channels Data,7537.0,1383.0,3.0,3.0,0.0,ODC Public Domain Dedication and Licence (PDDL)
Data for Migraine Classification,2535.0,427.0,2.0,2.0,4.0,Unlicenced
$$ Big Company Money $$,877.0,154.0,2.0,2.0,4.0,CC0: Public Domain
Pistachio Dataset,10575.0,872.0,4.0,12.0,2.0,CC0: Public Domain
Go To College Dataset,3586.0,706.0,2.0,1.0,0.0,CC0: Public Domain
Forbes 2022 Billionaires data [Pre-processed],1852.0,333.0,4.0,4.0,10.0,CC0: Public Domain
Rice MSC Dataset,4301.0,423.0,1.0,1.0,0.0,CC0: Public Domain
Amex Agg Data Pickle,828.0,248.0,2.0,3.0,6.0,CC0: Public Domain
Gun Violence Incidents in the United States,2186.0,359.0,6.0,4.0,0.0,Unlicenced
Animal Crossing New Horizons Catalog,233379.0,19872.0,800.0,17.0,22.0,CC0: Public Domain
Netflix Stocks,4144.0,712.0,0.0,0.0,0.0,CC0: Public Domain
Credit Card Fraud,7057.0,1040.0,6.0,5.0,2.0,CC0: Public Domain
Employees' Annual Salary in Chicago,998.0,178.0,1.0,2.0,0.0,CC0: Public Domain
