link,last_seen,joined_date_time,followers,following,competitions,dataset,codes,discussion,basic_info,github,twitter,linkedin,website,author_img
https://www.kaggle.com/victorsoeiro,in the past day,Thu Mar 19 2020 07:39:17,10,0,0,18,0,2,"Rio de Janeiro, State of Rio de Janeiro, Brazil",https://github.com/victor-soeiro,Unavailable,https://www.linkedin.com/in/victor-soeiro/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/4697476-kg.png
https://www.kaggle.com/surajjha101,in the past day,Sun Feb 06 2022 12:26:46,182,10,0,10,3,1226,"New Delhi, Delhi, India",Unavailable,https://twitter.com/surajjha10101,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/9590174-kg.jpg
https://www.kaggle.com/devansodariya,in the past day,Sun Apr 11 2021 12:21:20,16,0,1,3,4,15,"Ahmedabad, Gujarat, India",https://github.com/Dev228-afk,Unavailable,https://www.linkedin.com/in/dev-ansodariya-b616941b9/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/7154234-kg.jpg
https://www.kaggle.com/paradisejoy,a day ago,Tue Apr 02 2019 22:36:08,1,0,0,1,0,1,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/default-thumb.png
https://www.kaggle.com/odins0n,in the past day,Tue Feb 09 2021 23:21:40,410,71,32,16,37,996,"Pune, Maharashtra, India",https://github.com/sanskar-hasija,https://twitter.com/Sanskar_Hasija,https://www.linkedin.com/in/sanskar-hasija/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/6693435-kg.jpg
https://www.kaggle.com/muratkokludataset,in the past day,Mon Mar 28 2022 23:17:24,40,33,0,12,0,1,"Konya, Konya, Turkey",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10072866-kg.jpg
https://www.kaggle.com/ruchi798,in the past day,Tue Jun 04 2019 15:02:45,3548,20,19,40,24,481,"Mumbai, Maharashtra, India",https://github.com/ruch798,https://twitter.com/ruchi798,https://www.linkedin.com/in/ruchi798/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/3309826-kg.jpeg
https://www.kaggle.com/muhammedtausif,in the past day,Thu Nov 14 2019 14:46:18,77,284,0,12,29,936,"Sohawa, Punjab, Pakistan",https://github.com/MuhammadTausif,https://twitter.com/asia_soft,https://www.linkedin.com/in/muhammed-tausif/,https://www.thesoftasia.com,https://storage.googleapis.com/kaggle-avatars/images/4034364-gr.jpg
https://www.kaggle.com/mdmahmudulhasansuzan,in the past day,Wed Mar 10 2021 18:42:39,3,3,1,1,0,8,"Dhaka, Dhaka Division, Bangladesh",https://github.com/Suzansb,Unavailable,https://www.linkedin.com/in/mahmudulhasansuzan/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/6908304-kg.jpg
https://www.kaggle.com/iamsouravbanerjee,in the past day,Thu Mar 25 2021 11:40:35,226,4,0,12,10,783,"Kolkata, West Bengal, India",Unavailable,Unavailable,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/7024923-kg.png
https://www.kaggle.com/shariful07,in the past day,Mon Apr 25 2022 18:49:53,7,11,11,1,9,9,"Selangor, Malaysia",https://github.com/sinoyon,https://twitter.com/sinoyon7,https://www.linkedin.com/in/shariful07/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/10350744-kg.jpeg
https://www.kaggle.com/ahmedshahriarsakib,in the past day,Fri Nov 29 2019 10:50:26,97,235,7,8,11,934,"Dhaka, Dhaka Division, Bangladesh",https://github.com/ahmedshahriar,Unavailable,https://www.linkedin.com/in/ahmedshahriar/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/4124088-kg.png
https://www.kaggle.com/dansbecker,in the past day,Wed Apr 06 2011 23:25:23,8299,14,19,19,190,613,"Golden, Colorado, United States",https://github.com/dansbecker,https://twitter.com/dan_s_becker,http://www.linkedin.com/pub/dan-becker/34/9a8/945,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/9028-fb.jpg
https://www.kaggle.com/prasertk,8 days ago,Sun Jun 11 2017 20:52:22,53,0,0,58,9,2,"Bangkok, Bangkok, Thailand",https://github.com/prasertcbs,https://twitter.com/prasertcbs,Unavailable,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/1120513-gp.jpg
https://www.kaggle.com/mysarahmadbhat,in the past day,Sun Mar 21 2021 14:53:03,90,100,4,34,27,729,"Hyderabad, Telangana, India",Unavailable,Unavailable,https://www.linkedin.com/in/mysar-ahmad-811a6b163/,Unavailable,https://storage.googleapis.com/kaggle-avatars/images/6990402-kg.jpg
